Cities,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,10 Percentile,20 Percentile,30 Percentile,40 Percentile,50 Percentile,60 Percentile,70 Percentile,80 Percentile,90 Percentile,Maximum,20 Deg,40 Deg,60 Deg,80 Deg,100 Deg,120 Deg,140 Deg,160 Deg,180 Deg,200 Deg,220 Deg,240 Deg,260 Deg,280 Deg,300 Deg,320 Deg,340 Deg,360 Deg
Lahore,0.0883,0.0573,0.6759,0.1749,0.0026,0.0004,0.0004,0.0001,0,0,,,,,,,0.07,0.06,0.09,0.12,0.15,0.09,0.09,0.12,0.12,0.1,0.0151,0.022,0.04,0.0702,0.5352,0.0676,0.0402,0.0238,0.1015,0.0653,0.0046,0.0021,0.0019,0.0023,0.0003,0.0002,0.0001,0
Lima,0.0778,0.0569,0.6399,0.2212,0.0035,0.0004,0.0001,0.0002,0,0,,,,,,,0.06,0.07,0.11,0.22,0.15,0.09,0.13,0.1,0.06,0.02,0.01,0.0144,0.0276,0.0719,0.5924,0.0679,0.0259,0.0174,0.0923,0.0623,0.0043,0.0018,0.0012,0.0029,0.0003,0.0001,0,0
London,0.1953,0.1272,0.5799,0.0931,0.0039,0.0005,0.0001,0.0001,0,0,0,,,,,,0.19,0.15,0.15,0.12,0.11,0.08,0.07,0.06,0.05,0.02,0.0251,0.0325,0.0527,0.0961,0.3458,0.1007,0.0598,0.0474,0.1187,0.0811,0.0098,0.0043,0.0026,0.0025,0.0004,0.0001,0.0001,0
LosAngeles,0.1879,0.1124,0.5207,0.175,0.0037,0.0003,0,0,0,,,,,,,,0.07,0.08,0.07,0.1,0.1,0.12,0.12,0.1,0.13,0.09,0.0216,0.0217,0.0332,0.0707,0.5188,0.0695,0.0355,0.0287,0.102,0.0621,0.0075,0.0033,0.0027,0.0052,0.0005,0.0002,0.0001,0
Madrid,0.1109,0.1148,0.6183,0.1504,0.0047,0.0006,0.0001,0.0001,0,0.0001,0,0,0,,,,0.16,0.14,0.12,0.1,0.1,0.08,0.07,0.07,0.06,0.1,0.0295,0.0404,0.0604,0.1037,0.3249,0.1013,0.0759,0.0611,0.1013,0.0643,0.0105,0.0042,0.0022,0.002,0.0004,0.0002,0.0001,0
Manila,0.1717,0.1076,0.598,0.1206,0.0017,0.0003,0,0,,,,,,,,,0.07,0.14,0.18,0.13,0.11,0.08,0.08,0.09,0.08,0.04,0.021,0.0249,0.0392,0.094,0.451,0.0871,0.0391,0.0292,0.0996,0.0714,0.0091,0.0046,0.004,0.0053,0.0009,0.0002,0.0001,0
Medellin,0.1675,0.1033,0.5144,0.2107,0.0039,0.0003,0,,,,,,,,,,0.07,0.07,0.12,0.14,0.15,0.14,0.12,0.09,0.06,0.04,0.0186,0.0251,0.0481,0.0987,0.4642,0.0903,0.0471,0.0373,0.0838,0.0578,0.0095,0.0041,0.0028,0.0034,0.0005,0.0002,0.0001,0
Miami,0.1614,0.1385,0.5142,0.1824,0.0033,0.0002,0,0,,,,,,,,,0.06,0.09,0.07,0.08,0.1,0.15,0.12,0.1,0.15,0.1,0.017,0.0194,0.0292,0.064,0.5557,0.0578,0.0309,0.025,0.0923,0.063,0.0062,0.0035,0.0045,0.0095,0.0006,0.0002,0.0001,0.0001
Milan,0.1364,0.1433,0.5801,0.1349,0.0046,0.0006,0.0001,0,0,0.0001,0,,,,,,0.22,0.16,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.04,0.0291,0.0368,0.0532,0.0907,0.3616,0.0839,0.0639,0.0526,0.1142,0.074,0.0092,0.0046,0.0027,0.0026,0.0004,0.0002,0.0001,0
Moscow,0.1729,0.1245,0.5509,0.1469,0.0042,0.0004,0.0001,0,0,0,0,,,,,,0.18,0.12,0.1,0.08,0.09,0.07,0.07,0.08,0.09,0.1,0.0228,0.0365,0.0575,0.0899,0.386,0.0893,0.0596,0.0463,0.1036,0.0708,0.0101,0.0048,0.0029,0.0026,0.0004,0.0002,0.0001,0
Mumbai,0.2197,0.0733,0.5874,0.1145,0.0041,0.0007,0.0001,0,0.0002,0,,,,,,,0.08,0.08,0.08,0.09,0.1,0.09,0.1,0.12,0.14,0.13,0.0279,0.0354,0.0561,0.1052,0.3591,0.0996,0.059,0.0492,0.1048,0.0653,0.0097,0.0047,0.0025,0.0018,0.0004,0.0002,0.0001,0
Nanjing,0.1356,0.1905,0.4445,0.2195,0.0082,0.0013,0.0004,0.0001,,,,,,,,,0.07,0.08,0.06,0.05,0.06,0.05,0.06,0.08,0.14,0.35,0.0446,0.0323,0.0474,0.0949,0.3679,0.0869,0.0457,0.0376,0.1098,0.0774,0.0087,0.0038,0.002,0.002,0.0005,0.0002,0,0.0001
Naples,0.2117,0.1335,0.5759,0.0761,0.0021,0.0004,0,0.0001,0,0,0,0.0001,0,0,0,,0.11,0.1,0.1,0.09,0.09,0.07,0.08,0.1,0.1,0.15,0.0299,0.0478,0.0645,0.1007,0.2774,0.0964,0.0708,0.0649,0.1204,0.0777,0.0148,0.0061,0.0031,0.0022,0.0005,0.0002,0.0001,0
NewYork,0.1755,0.1016,0.5541,0.1647,0.0035,0.0004,0.0001,0,0,0,0,0,0,0,0,0,0.07,0.08,0.07,0.07,0.09,0.17,0.1,0.12,0.14,0.09,0.0224,0.0281,0.0456,0.091,0.4267,0.089,0.0463,0.0368,0.0958,0.0683,0.0087,0.0037,0.0025,0.0026,0.0005,0.0002,0.0001,0
Paris,0.1612,0.1384,0.5567,0.1349,0.0069,0.0014,0.0003,0.0001,0,0,0,0,0,0,0,0,0.19,0.14,0.12,0.1,0.09,0.08,0.07,0.08,0.07,0.06,0.0434,0.0376,0.0613,0.1014,0.3008,0.1027,0.0714,0.0537,0.1152,0.0759,0.01,0.0042,0.0023,0.002,0.0003,0.0001,0,0
Philadelphia,0.1784,0.1067,0.5462,0.1655,0.0029,0.0003,0,0,0,0,,,,,,,0.07,0.07,0.07,0.1,0.1,0.1,0.1,0.12,0.12,0.13,0.0249,0.028,0.0478,0.0881,0.4275,0.0872,0.0481,0.0367,0.0975,0.0684,0.0091,0.004,0.0026,0.0026,0.0004,0.0002,0,0
Phoenix,0.156,0.1627,0.5492,0.1295,0.0023,0.0002,0,0,0,,,,,,,,0.08,0.11,0.08,0.1,0.09,0.13,0.09,0.09,0.11,0.11,0.018,0.017,0.0294,0.0725,0.5165,0.0678,0.0324,0.0266,0.1077,0.0663,0.0072,0.0036,0.0043,0.0126,0.0007,0.0002,0.0001,0
PortoAlegre,0.1255,0.0792,0.567,0.2218,0.0054,0.0009,0.0001,0,0,0,,,,,,,0.1,0.08,0.08,0.09,0.13,0.15,0.11,0.13,0.1,0.04,0.0158,0.0234,0.0443,0.0948,0.4991,0.0847,0.0392,0.0267,0.0951,0.0583,0.0058,0.0022,0.0018,0.0027,0.0003,0.0001,0,0
Pune,0.2136,0.1234,0.555,0.1049,0.0029,0.0003,,,,,,,,,,,0.1,0.08,0.11,0.1,0.11,0.09,0.1,0.1,0.1,0.12,0.0189,0.0232,0.0409,0.0932,0.4335,0.0866,0.0472,0.0374,0.1141,0.0702,0.008,0.0034,0.0027,0.0076,0.0006,0.0003,0,0
